date,via,lat,lon,alt,alt_max,tmp,hum,pss,count,rate
1688809154,OK0EB-10,48.54212104188215,13.822994492368593,11362.944000000001,11362.944000000001,-27.22222222222222,15,228.6,105,3.4
1688809215,DK5RQ-10,48.53702293883851,13.841144999291203,11564.4168,11564.4168,-28.333333333333332,15,221.8,106,3.36
1688809276,OK1JRA-15,48.53402498122995,13.857867407317968,11764.365600000001,11764.365600000001,-30,14,215.1,107,3.33
1688809336,OK1JRA-15,48.53441613331723,13.875681890970952,12031.3704,12031.3704,-30.555555555555554,14,206.6,108,4.45
1688809396,OK9TVR-14,48.533754587505186,13.896027049873197,12247.168800000001,12247.168800000001,-31.11111111111111,14,200,109,3.6
1688809456,OK0DV-10,48.53241049442674,13.916592724046154,12434.6208,12434.6208,-32.77777777777778,13,194.3,110,3.12
1688809517,DO5MKK-15,48.52800543937668,13.93777794112242,12620.244,12620.244,-32.22222222222222,13,189,111,3.09
1688809577,OK0EB-10,48.52265794406263,13.95702577403486,12820.1928,12820.1928,-32.77777777777778,13,183.3,112,3.33
1688809638,OK1JRA-15,48.51697442547896,13.971301512629736,13010.388,13010.388,-30,13,178.2,113,3.17
1688809699,OK1KHL-10,48.51270062951859,13.98468993977832,13196.316,13196.316,-28.333333333333332,13,173.7,114,3.1
1688809759,OL7M-10,48.50999931745273,13.99781059838395,13393.8264,13393.8264,-28.333333333333332,12,168.3,115,3.29
1688809820,OK1JRA-15,48.508878364826764,14.010673989173739,13596.5184,13596.5184,-27.77777777777778,12,163.4,116,3.38
1688809880,OK1JRA-15,48.507875545381516,14.024855221224072,13780.008,13780.008,-27.22222222222222,12,159,117,3.06
1688809941,OK0EB-10,48.5059224101269,14.03896294818415,13979.3472,13979.3472,-27.77777777777778,12,154.3,118,3.32
1688810001,DO5MKK-15,48.50397977559946,14.050708011529792,14168.9328,14168.9328,-26.11111111111111,12,149.9,119,3.16
1688810061,OK1JRA-15,48.50512172967978,14.061849283062855,14371.320000000002,14371.320000000002,-26.666666666666664,12,145.5,120,3.37
1688810121,OK0EB-10,48.50666796175635,14.07523771021144,14570.3544,14570.3544,-28.333333333333332,12,141.3,121,3.32
1688810182,OK0EB-10,48.506977733208025,14.089061917537776,14776.0944,14776.0944,-27.22222222222222,12,137,122,3.43
1688810242,OK0EB-10,48.50641069394055,14.097893029092262,14984.2728,14984.2728,-28.333333333333332,12,132.8,123,3.47
1688810303,OK1KHL-10,48.5053684967684,14.104996771026407,15174.468,15174.468,-28.333333333333332,11,129.1,124,3.17
1688810363,OK0EB-10,48.50355712133065,14.111995505688782,15368.930400000001,15368.930400000001,-28.333333333333332,11,125.4,125,3.24
1688810423,OK0EB-10,48.50122333471593,14.117697400544984,15574.6704,15574.6704,-28.333333333333332,11,121.6,126,3.43
1688810484,OK0EB-10,48.5019163827095,14.120973627423695,15797.174400000002,15797.174400000002,-26.666666666666664,11,117.6,127,3.71
1688810544,OK0EB-10,48.504318424050865,14.126307996828785,16019.6784,16019.6784,-25.555555555555554,11,113.7,128,3.71
1688810605,OK0EB-10,48.50800680447121,14.134677076387533,16229.076000000001,16229.076000000001,-27.22222222222222,11,110.3,129,3.49
1688810666,OK0EB-10,48.50968954600106,14.145818347920596,16433.9016,16433.9016,-27.77777777777778,11,106.9,130,3.41
1688810726,OK1JRA-15,48.50847146164872,14.15686511290906,16631.716800000002,16631.716800000002,-30.555555555555554,11,103.8,131,3.3
1688810786,OK0EB-10,48.50716937147897,14.163044790851757,16827.0936,16827.0936,-28.88888888888889,11,100.7,132,3.26
1688810804,OK0EB-10,48.507174621842566,14.163695835936636,16890.1872,16890.1872,-28.88888888888889,11,99.8,133,1.05
1688810814,OE3XFW-11,48.50728225429611,14.164194620477474,16927.3728,16927.3728,-28.88888888888889,11,99.2,134,0.62
1688810874,DO5MKK-15,48.50965279345595,14.167549602809999,17141.952,17141.952,-30,11,96.1,135,3.58
1688810930,OK0EB-10,48.51144841780293,14.170699820962597,17339.157600000002,17339.157600000002,-31.11111111111111,11,93.3,136,3.29
1688810943,OK0EB-10,48.511401164530646,14.170894084415352,17380.9152,17380.9152,-31.11111111111111,11,92.6,138,0.32
1688810957,OK0EB-10,48.511443167439346,14.170930836960451,17427.2448,17427.2448,-30.555555555555554,11,92,140,0.38
1688810970,DF9PM-5,48.51142479116679,14.170993841323508,17447.9712,17447.9712,-30.555555555555554,11,91.7,141,0.35
1688810977,OK0EB-10,48.51153504880213,14.171172353685506,17492.7768,17492.7768,-31.11111111111111,11,91.1,143,0.34
1688810989,OK0EB-10,48.51169255970976,14.17142962150129,17536.0584,17536.0584,-30.555555555555554,11,90.5,144,0.72
1688811004,OK2ULQ-11,48.51191307498044,14.171891653497,17584.8264,17584.8264,-29.444444444444443,11,89.9,146,0.41
1688811050,OK0EB-10,48.51281876269932,14.174511584927245,17742.7128,17742.7128,-29.444444444444443,11,87.8,147,2.63
1688811061,OK1RPL-14,48.51285289006264,14.174973616922983,17765.8776,17765.8776,-29.444444444444443,11,87.6,148,0.39
1688811088,OK0EB-10,48.513475058147776,14.1762809574563,17867.9856,17867.9856,-30.555555555555554,11,86.2,149,1.7
1688811100,OK1FWG-10,48.513637819418996,14.176637982180267,17892.0648,17892.0648,-30.555555555555554,11,85.8,150,0.4
1688811120,DO5MKK-15,48.514002719688335,14.177241773992847,17976.1896,17976.1896,-29.444444444444443,11,84.7,151,1.4
1688811133,OK1JRA-15,48.51401584559731,14.177530543990173,18018.252,18018.252,-28.333333333333332,11,84.2,153,0.31
1688811145,OK1FWG-10,48.51404472259704,14.177572546898887,18042.3312,18042.3312,-28.333333333333332,11,84,154,0.4
1688811150,OK1JRA-15,48.51416285577776,14.177803562896742,18075.2496,18075.2496,-28.333333333333332,11,83.5,155,0.55
1688811169,DL1ZM-10,48.51446212650226,14.178507111617478,18143.22,18143.22,-28.88888888888889,11,82.6,157,0.75
1688811185,OK9TVR-14,48.5145723841376,14.179247412883342,18203.5704,18203.5704,-28.333333333333332,11,81.8,158,1.01
1688811229,OK0EB-10,48.513267668786064,14.18020822941989,18369.3816,18369.3816,-29.444444444444443,11,79.9,160,2.28
1688811243,OK0EB-10,48.51286339078981,14.18020822941989,18413.5776,18413.5776,-30,11,79.4,162,0.41
1688811256,OK0EB-10,48.512556244519935,14.180134724329662,18459.9072,18459.9072,-29.444444444444443,11,78.9,163,0.77
1688811265,OE5PON-11,48.512997275061295,14.180218730147061,18388.8888,18388.8888,-29.444444444444443,11,79.7,161,0.33
1688811270,OE5ERN-11,48.51230422706772,14.180097971784534,18504.7128,18504.7128,-29.444444444444443,11,78.3,165,0.39
1688811281,OK1FWG-10,48.512167717614446,14.18001921633072,18528.792,18528.792,-29.444444444444443,11,78,166,0.4
1688811294,OK1FWG-10,48.512133590251125,14.17998246378562,18573.902400000003,18573.902400000003,-30,11,77.5,168,0.4
1688811305,OK0EB-10,48.512070585888075,14.180192478329133,18626.6328,18626.6328,-30,11,76.9,170,0.5
1688811322,OK0EB-10,48.51217296797803,14.180334238146003,18683.3256,18683.3256,-28.88888888888889,11,76.3,172,0.55
1688811341,OK0EB-10,48.51231210261311,14.180733265778656,18746.724000000002,18746.724000000002,-29.444444444444443,11,75.6,174,0.72
1688811353,OK1FWG-10,48.512393483248715,14.180885526322697,18772.3272,18772.3272,-28.88888888888889,11,75.2,175,0.43
1688811382,OK0EB-10,48.51343305523908,14.181809590314117,18884.7984,18884.7984,-27.77777777777778,11,73.9,176,1.87
1688811405,OK0EB-10,48.51386883541685,14.182523639762053,18963.4368,18963.4368,-27.22222222222222,11,73.1,178,0.9
1688811418,OK1JRA-15,48.51401584559731,14.182875414122435,19007.0232,19007.0232,-27.22222222222222,11,72.6,180,0.36
1688811430,OK1FWG-10,48.51410772696009,14.182948919212663,19031.1024,19031.1024,-27.77777777777778,11,72.5,181,0.4
1688811438,OK1JRA-15,48.51423898604978,14.183216687755618,19075.2984,19075.2984,-27.22222222222222,11,71.9,183,0.34
1688811450,OL7M-10,48.51449887904737,14.183447703753473,19100.9016,19100.9016,-27.77777777777778,11,71.7,184,0.43
1688811465,OE5PON-11,48.5135511884198,14.182192866856042,18909.4872,18909.4872,-27.77777777777778,11,73.7,177,0.41
1688811477,OK1JRA-15,48.51503704131511,14.184728792468889,19208.496,19208.496,-29.444444444444443,11,70.5,185,1.79
1688811496,OK1FWG-10,48.51510267085996,14.184959808466743,19253.911200000002,19253.911200000002,-28.88888888888889,11,70,187,0.37
1688811506,OE6PWE-4,48.51527593285835,14.185264329554826,19300.2408,19300.2408,-29.444444444444443,11,69.5,189,0.43
1688811522,DB0WTH-12,48.51544656967495,14.185316833190711,19349.9232,19349.9232,-28.333333333333332,11,69.1,191,0.37
1688811536,OK1FWG-10,48.515656584218455,14.185448092280382,19402.9584,19402.9584,-28.333333333333332,11,68.5,193,0.43
1688811549,OK1FWG-10,48.515625082036934,14.185474344098338,19451.4216,19451.4216,-28.333333333333332,11,68.1,195,0.46
1688811557,DK1KT-13,48.515530575492356,14.185647606096722,19480.0728,19480.0728,-28.333333333333332,11,67.8,196,0.48
1688811563,OK1FWG-10,48.51546494594751,14.185327333917883,19503.2376,19503.2376,-28.333333333333332,11,67.5,197,0.39
1688811570,DL1ZM-10,48.51529430913091,14.184933556648787,19553.8344,19553.8344,-28.88888888888889,11,67,198,0.84
1688811581,OK1RPL-14,48.51510004567816,14.184434772107977,19579.7424,19579.7424,-28.88888888888889,11,66.8,199,0.43
1688811638,DK5RQ-10,48.51374020150895,14.178984894703945,19790.664,19790.664,-27.77777777777778,11,64.7,200,3.52
1688811698,OK0EB-10,48.514716769136264,14.175367394192051,20000.366400000003,20000.366400000003,-25,11,62.7,201,3.5
1688811715,OK0EB-10,48.51480077495366,14.174936864377855,20059.497600000002,20059.497600000002,-25,11,62.3,202,0.99
1688811726,DB0WTH-12,48.514792899408285,14.174537836745202,20084.796000000002,20084.796000000002,-25,11,62,203,0.42
1688811741,OK0EB-10,48.51507641904202,14.173939295296208,20151.5472,20151.5472,-25,11,61.4,204,1.11
1688811801,DL1ZM-10,48.51701905356946,14.17110934932245,20358.2016,20358.2016,-26.11111111111111,11,59.6,205,3.44
1688811821,OK0EB-10,48.51733407538472,14.170264040784815,20428.9152,20428.9152,-26.11111111111111,11,59,207,0.76
1688811832,OK1RPL-14,48.51755196547361,14.169943768605975,20452.6896,20452.6896,-26.11111111111111,11,58.8,208,0.4
1688811840,OK1JRA-15,48.51770947638124,14.16966549933582,20494.1424,20494.1424,-26.11111111111111,11,58.4,209,0.69
1688811852,OE5PON-11,48.51719756593144,14.170804828234367,20383.195200000002,20383.195200000002,-26.11111111111111,11,59.4,206,0.42
1688811859,OK1FWG-10,48.51783285992555,14.16939248042928,20538.948,20538.948,-26.666666666666664,11,58.1,211,0.36
1688811864,OK1RPL-14,48.51807175146879,14.169481736610265,20562.4176,20562.4176,-26.666666666666664,11,57.8,212,0.39
1688811870,OK0EB-10,48.51826864010333,14.169292723521096,20596.2504,20596.2504,-26.666666666666664,11,57.6,213,0.56
1688811883,OK0EB-10,48.51847602946504,14.169282222793925,20638.3128,20638.3128,-26.666666666666664,11,57.2,215,0.36
1688811896,OK1JRA-15,48.51864404109985,14.168804439707458,20680.68,20680.68,-26.11111111111111,11,56.8,217,0.33
1688811913,OK0DV-10,48.518609913736526,14.168011634805708,20737.677600000003,20737.677600000003,-26.11111111111111,11,56.4,219,0.54
1688811926,OK1JRA-15,48.51861253891832,14.167166326268102,20784.0072,20784.0072,-26.11111111111111,11,56,221,0.44
1688811986,OK1KHL-10,48.519365966093154,14.162740269763674,20993.4048,20993.4048,-26.11111111111111,11,54.4,222,3.49
1688812046,OK1KHL-10,48.519237332185256,14.15878149561857,21200.9736,21200.9736,-24.444444444444443,11,52.8,223,3.46
1688812107,OK1JRA-15,48.519539228091546,14.154470947113083,21407.0184,21407.0184,-23.88888888888889,11,51.3,224,3.43
1688812167,OK1JRA-15,48.51902994282354,14.148490782986727,21612.758400000002,21612.758400000002,-22.77777777777778,11,49.8,225,3.43
1688812200,OK0EB-10,48.51941584454723,14.145881352283652,21727.3632,21727.3632,-23.333333333333332,11,48.9,226,1.91
1688812222,OK1KHL-10,48.51950247554643,14.14440600011551,21805.0872,21805.0872,-24.444444444444443,11,48.4,227,1.3
1688812282,OK1JRA-15,48.51974924263505,14.138698854895694,22019.9712,22019.9712,-24.444444444444443,11,47,228,3.58
1688812333,DG1MSR-10,48.51869129437213,14.167644109354569,20757.794400000002,20757.794400000002,-26.11111111111111,11,56.2,220,0.34
1688812342,DO5MKK-15,48.52116421562193,14.133758262759699,22229.3688,22229.3688,-24.444444444444443,11,45.6,229,3.49
1688812403,DB9SR-10,48.5227130728803,14.127715094270286,22437.852000000003,22437.852000000003,-22.77777777777778,11,44.4,230,3.47
1688812463,OK0EB-10,48.525516767036116,14.120422339247,22649.9928,22649.9928,-22.22222222222222,11,43,231,3.54
1688812523,DB9SR-10,48.527593285835046,14.11687309346172,22881.945600000003,22881.945600000003,-21.666666666666668,11,41.7,232,3.87
1688812584,OK0EB-10,48.526976368113495,14.111732987509384,23121.213600000003,23121.213600000003,-21.666666666666668,11,40.3,233,3.99
1688812644,OK0EB-10,48.52835721373705,14.10417771430673,23342.193600000002,23342.193600000002,-22.22222222222222,11,39.1,234,3.68
1688812704,OK1JRA-15,48.52856722828056,14.09758850800418,23565.307200000003,23565.307200000003,-21.11111111111111,10,38,235,3.72
1688812765,OK1JRA-15,48.52912376682085,14.090663278432032,23803.0512,23803.0512,-20.555555555555554,11,36.7,236,3.96
1688812825,OK0EB-10,48.53080388316891,14.083942813039812,24052.3776,24052.3776,-19.444444444444443,10,35.5,237,4.16
1688812886,OK1JRA-15,48.532378992245214,14.076156523839273,24292.2552,24292.2552,-20,10,34.4,238,4
1688812947,OK1JRA-15,48.53419299286475,14.070512382982514,24513.235200000003,24513.235200000003,-20.555555555555554,10,33.4,239,3.68
1688813007,OK0EB-10,48.535114431674394,14.06338238923044,24732.0816,24732.0816,-21.11111111111111,11,32.4,240,3.65
1688813067,OK0EB-10,48.53734846138095,14.055716858392458,24967.692000000003,24967.692000000003,-22.77777777777778,11,31.4,241,3.93
1688813127,OK1JRA-15,48.53888419273034,14.05114904207116,25219.152000000002,25219.152000000002,-20,11,30.4,242,4.19
1688813188,DB9SR-10,48.538679428550424,14.046717735203174,25476.098400000003,25476.098400000003,-20.555555555555554,10,29.4,243,4.28
1688813249,OK0EB-10,48.53894982227519,14.037771115649747,25740.9696,25740.9696,-20,11,28.5,244,4.41
1688813310,OK0EB-10,48.539052204365156,14.027711419015759,25996.6968,25996.6968,-20,10,27.5,245,4.26
1688813370,OK9TVR-14,48.53834340528081,14.02077568871644,26244.1944,26244.1944,-18.88888888888889,11,26.6,246,4.12
1688813431,OK1JRA-15,48.5374560938345,14.0103537169949,26505.408000000003,26505.408000000003,-17.77777777777778,10,25.7,247,4.35
1688813492,OK1JRA-15,48.53750072192499,13.998372387287816,26754.1248,26754.1248,-17.22222222222222,10,24.9,248,4.15
1688813552,OK1JRA-15,48.539774129358456,13.987362374844452,26987.9064,26987.9064,-16.11111111111111,10,24.2,249,3.9
1688813613,OK1JRA-15,48.54201865979219,13.979350320009672,27225.9552,27225.9552,-15.555555555555555,10,23.5,250,3.97
1688813674,DB9SR-10,48.54317373978148,13.970891984269912,27478.3296,27478.3296,-16.11111111111111,10,22.8,251,4.21
1688813734,OK1KHL-10,48.54479610213007,13.96089529199898,27706.929600000003,27706.929600000003,-13.88888888888889,10,22.2,252,3.81
1688813794,OK0EB-10,48.54633970902485,13.95132387917863,27961.742400000003,27961.742400000003,-13.333333333333332,10,21.5,253,4.25
1688813855,OK1JRA-15,48.54831647091561,13.942760536167128,28214.726400000003,28214.726400000003,-14.444444444444445,10,20.8,254,4.22
1688813915,OK0EB-10,48.54955030635872,13.93591931241238,28468.6248,28468.6248,-14.444444444444445,10,20.1,255,4.23
1688813975,OK1FWG-10,48.5497681964476,13.929918146831682,28712.16,28712.16,-13.333333333333332,10,19.6,256,4.06
1688814036,OK1JRA-15,48.550658133075714,13.922929912896478,28970.3256,28970.3256,-14.444444444444445,10,19,257,4.3
1688814096,OK0EB-10,48.55233562424198,13.916120191323245,29238.8544,29238.8544,-13.88888888888889,10,18.4,258,4.48
1688814157,DB9SR-10,48.55236450124171,13.907682857037855,29519.2704,29519.2704,-13.333333333333332,10,17.9,259,4.67
1688814217,OK0EB-10,48.55183421451935,13.898442217123545,29778.350400000003,29778.350400000003,-13.88888888888889,10,17.3,260,4.32
1688814278,OK0EB-10,48.550582002803694,13.89208402681885,30035.2968,30035.2968,-11.666666666666666,1,16.8,261,4.28
1688814339,OK0EB-10,48.55005959162672,13.884765019977635,30293.4624,30293.4624,-11.11111111111111,1,16.3,262,4.3
1688814399,OK1JRA-15,48.549413796905434,13.877015483322225,30535.778400000003,30535.778400000003,-12.222222222222221,1,15.9,263,4.04
1688814459,OK1JRA-15,48.54901214409098,13.870148007749549,30794.553600000003,30794.553600000003,-10,1,15.4,264,4.31
1688814519,OK1JRA-15,48.54905414699968,13.859253503305098,31038.393600000003,31038.393600000003,-11.11111111111111,1,15,265,4.06
1688814580,OK0EB-10,48.54996245990035,13.847130413781144,31285.5864,31285.5864,-10,1,14.7,266,4.12
1688814641,OK1FWG-10,48.5515165675223,13.835962890430153,31530.3408,31530.3408,-10,1,14.3,267,4.08
1688814702,OK9TVR-14,48.55363771441172,13.825120889621616,31779.0576,31779.0576,-10.555555555555555,1,13.9,268,4.15
